Attribute,Category,Snowflake Field names,flag_continuous,Bin
IBE8592,Acxiom New,IBE8592,1,"0,1960,1980,2000,2010,2020,1000000"
IBE8588,Acxiom New,IBE8588,1,"0,1500,2000,2500,3000,1000000"
IBE9358,Acxiom New,IBE9358,1,"0,5,10,15,20"
IBE1273_01,Acxiom New,IBE1273_01,1,"0,2,4,6,8,15"
IBE8642_val,Acxiom New,IBE8642_val,1,"0,250000,500000,750000,100000000"
